id,pred
2013_1103_1107,0.67035138607
2013_1103_1112,0.151032969356
2013_1103_1125,0.563657045364
2013_1103_1129,0.382824838161
2013_1103_1137,0.666595697403
2013_1103_1139,0.280858963728
2013_1103_1143,0.370548516512
2013_1103_1153,0.179564788938
2013_1103_1160,0.256573140621
2013_1103_1161,0.464330255985
2013_1103_1166,0.341776192188
2013_1103_1172,0.436493039131
2013_1103_1181,0.0633064806461
2013_1103_1195,0.835895776749
2013_1103_1196,0.233580902219
2013_1103_1207,0.130499824882
2013_1103_1211,0.211055755615
2013_1103_1217,0.627535283566
2013_1103_1228,0.277939498425
2013_1103_1231,0.272005617619
2013_1103_1233,0.669932365417
2013_1103_1235,0.269714206457
2013_1103_1241,0.722844600677
2013_1103_1242,0.0594468042254
2013_1103_1243,0.227712258697
2013_1103_1247,0.594859004021
2013_1103_1251,0.874229133129
2013_1103_1254,0.795756578445
2013_1103_1257,0.137797832489
2013_1103_1266,0.203630983829
2013_1103_1272,0.208032935858
2013_1103_1274,0.227417886257
2013_1103_1276,0.251879096031
2013_1103_1277,0.127733692527
2013_1103_1278,0.239241614938
2013_1103_1279,0.503834426403
2013_1103_1281,0.253498196602
2013_1103_1285,0.667918264866
2013_1103_1292,0.507706701756
2013_1103_1299,0.953415036201
2013_1103_1301,0.17903393507
2013_1103_1307,0.278449952602
2013_1103_1308,0.601873338223
2013_1103_1314,0.087213255465
2013_1103_1322,0.834062039852
2013_1103_1323,0.148667678237
2013_1103_1326,0.186516836286
2013_1103_1328,0.192121654749
2013_1103_1329,0.148820772767
2013_1103_1332,0.305818885565
2013_1103_1334,0.592740178108
2013_1103_1338,0.109790958464
2013_1103_1355,0.78169721365
2013_1103_1361,0.205375611782
2013_1103_1380,0.941764354706
2013_1103_1387,0.472542732954
2013_1103_1388,0.302056580782
2013_1103_1393,0.139681220055
2013_1103_1396,0.390725344419
2013_1103_1417,0.215639948845
2013_1103_1424,0.301170885563
2013_1103_1433,0.250764191151
2013_1103_1434,0.594969511032
2013_1103_1437,0.119869269431
2013_1103_1443,0.499991893768
2013_1103_1455,0.323205113411
2013_1103_1458,0.172073155642
2013_1107_1112,0.046425756067
2013_1107_1125,0.215289473534
2013_1107_1129,0.246435150504
2013_1107_1137,0.378946423531
2013_1107_1139,0.0972016006708
2013_1107_1143,0.126117140055
2013_1107_1153,0.0784218162298
2013_1107_1160,0.130328401923
2013_1107_1161,0.249696925282
2013_1107_1166,0.14565114677
2013_1107_1172,0.23511916399
2013_1107_1181,0.0265882015228
2013_1107_1195,0.545039534569
2013_1107_1196,0.0477734841406
2013_1107_1207,0.0702446699142
2013_1107_1211,0.0767646282911
2013_1107_1217,0.43264529109
2013_1107_1228,0.0805042907596
2013_1107_1231,0.0997941717505
2013_1107_1233,0.299843788147
2013_1107_1235,0.0937409102917
2013_1107_1241,0.537848889828
2013_1107_1242,0.0334181599319
2013_1107_1243,0.120416730642
2013_1107_1247,0.354765415192
2013_1107_1251,0.603675782681
2013_1107_1254,0.485165864229
2013_1107_1257,0.0527778342366
2013_1107_1266,0.0804355889559
2013_1107_1272,0.102450162172
2013_1107_1274,0.107225723565
2013_1107_1276,0.10875800252
2013_1107_1277,0.0558793246746
2013_1107_1278,0.142841622233
2013_1107_1279,0.153644755483
2013_1107_1281,0.0722374916077
2013_1107_1285,0.453092545271
2013_1107_1292,0.35914337635
2013_1107_1299,0.871070444584
2013_1107_1301,0.103738427162
2013_1107_1307,0.107497818768
2013_1107_1308,0.327174633741
2013_1107_1314,0.0350926741958
2013_1107_1322,0.545950114727
2013_1107_1323,0.08734896034
2013_1107_1326,0.0786204487085
2013_1107_1328,0.0639048218727
2013_1107_1329,0.0837668403983
2013_1107_1332,0.122349992394
2013_1107_1334,0.292302340269
2013_1107_1338,0.0532116405666
2013_1107_1355,0.531826734543
2013_1107_1361,0.086176328361
2013_1107_1380,0.862730145454
2013_1107_1387,0.267476081848
2013_1107_1388,0.117856487632
2013_1107_1393,0.0322908945382
2013_1107_1396,0.110605560243
2013_1107_1417,0.088653087616
2013_1107_1424,0.0909928232431
2013_1107_1433,0.12194275856
2013_1107_1434,0.265400886536
2013_1107_1437,0.0505243502557
2013_1107_1443,0.216825604439
2013_1107_1455,0.130459502339
2013_1107_1458,0.0469569154084
2013_1112_1125,0.899183034897
2013_1112_1129,0.890472471714
2013_1112_1137,0.931912839413
2013_1112_1139,0.611470580101
2013_1112_1143,0.673735260963
2013_1112_1153,0.710238754749
2013_1112_1160,0.729691922665
2013_1112_1161,0.834772408009
2013_1112_1166,0.645512878895
2013_1112_1172,0.822168946266
2013_1112_1181,0.326437503099
2013_1112_1195,0.963900566101
2013_1112_1196,0.521887719631
2013_1112_1207,0.549699425697
2013_1112_1211,0.556799829006
2013_1112_1217,0.918920755386
2013_1112_1228,0.615697741508
2013_1112_1231,0.638040363789
2013_1112_1233,0.900343835354
2013_1112_1235,0.563601315022
2013_1112_1241,0.935857772827
2013_1112_1242,0.478053689003
2013_1112_1243,0.653279721737
